CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run1.py
MEM 615.855469 1701186999.8550
MEM 615.855469 1701187000.0267
MEM 615.855469 1701187000.1979
MEM 615.855469 1701187000.3691
MEM 615.855469 1701187000.5358
MEM 615.855469 1701187000.6989
MEM 615.855469 1701187000.8693
MEM 615.855469 1701187001.0400
MEM 615.855469 1701187001.2104
MEM 615.855469 1701187001.3770
MEM 615.855469 1701187001.5491
MEM 615.855469 1701187001.7200
MEM 615.855469 1701187001.8830
MEM 615.855469 1701187002.0529
MEM 615.855469 1701187002.2114
MEM 615.855469 1701187002.3821
MEM 615.855469 1701187002.5526
MEM 615.855469 1701187002.7188
MEM 615.855469 1701187002.8889
MEM 615.855469 1701187003.0602
MEM 615.855469 1701187003.2311
MEM 615.855469 1701187003.4021
MEM 615.855469 1701187003.5731
MEM 615.855469 1701187003.7439
MEM 615.855469 1701187003.9148
MEM 615.855469 1701187004.0857
MEM 615.855469 1701187004.2530
MEM 615.855469 1701187004.4235
MEM 615.855469 1701187004.5776
MEM 615.855469 1701187004.7359
MEM 615.855469 1701187004.9067
MEM 615.855469 1701187005.0775
MEM 615.855469 1701187005.2481
MEM 615.855469 1701187005.4188
MEM 615.855469 1701187005.5893
MEM 615.855469 1701187005.7596
MEM 615.855469 1701187005.9305
MEM 615.855469 1701187006.1010
MEM 615.855469 1701187006.2692
MEM 615.855469 1701187006.4404
MEM 615.855469 1701187006.6111
MEM 615.855469 1701187006.7816
MEM 615.855469 1701187006.9501
MEM 615.855469 1701187007.1122
MEM 615.855469 1701187007.2822
MEM 615.855469 1701187007.4529
MEM 615.855469 1701187007.6230
MEM 615.855469 1701187007.7780
MEM 615.855469 1701187007.9393
MEM 615.855469 1701187008.1030
MEM 615.855469 1701187008.2750
MEM 615.855469 1701187008.4422
MEM 615.855469 1701187008.6139
MEM 615.855469 1701187008.8100
MEM 615.855469 1701187008.9806
MEM 615.855469 1701187009.1506
MEM 615.855469 1701187009.3080
MEM 615.855469 1701187009.4617
MEM 615.855469 1701187009.6238
MEM 615.855469 1701187009.7903
MEM 615.855469 1701187009.9611
MEM 615.855469 1701187010.1314
MEM 615.855469 1701187010.3019
MEM 615.855469 1701187010.4727
MEM 615.855469 1701187010.6423
MEM 615.855469 1701187010.8132
MEM 615.855469 1701187010.9866
MEM 615.855469 1701187011.1571
MEM 615.855469 1701187011.3284
MEM 615.855469 1701187011.4997
MEM 615.855469 1701187011.6578
MEM 615.855469 1701187011.8275
MEM 615.855469 1701187011.9973
MEM 615.855469 1701187012.1675
MEM 615.855469 1701187012.3378
MEM 615.855469 1701187012.5096
MEM 615.855469 1701187012.6683
MEM 615.855469 1701187012.8349
MEM 615.855469 1701187013.0050
MEM 615.855469 1701187013.1757
MEM 615.855469 1701187013.3455
MEM 615.855469 1701187013.5155
MEM 615.855469 1701187013.6856
MEM 615.855469 1701187013.8552
MEM 615.855469 1701187014.0251
MEM 615.855469 1701187014.1798
MEM 615.855469 1701187014.3456
MEM 615.855469 1701187014.5162
MEM 615.855469 1701187014.6870
MEM 615.855469 1701187014.8577
MEM 615.855469 1701187015.0285
MEM 615.855469 1701187015.1991
MEM 615.855469 1701187015.3693
MEM 615.855469 1701187015.5402
MEM 615.855469 1701187015.7134
MEM 615.855469 1701187015.8845
MEM 615.855469 1701187016.0560
MEM 615.855469 1701187016.2275
MEM 615.855469 1701187016.3991
MEM 615.855469 1701187016.5682
MEM 615.855469 1701187016.7344
MEM 615.855469 1701187016.9005
MEM 615.855469 1701187017.0712
MEM 615.855469 1701187017.2425
MEM 615.855469 1701187017.4129
MEM 615.855469 1701187017.5839
MEM 615.855469 1701187017.7546
MEM 615.855469 1701187017.9248
MEM 615.855469 1701187018.0948
MEM 615.855469 1701187018.2653
MEM 615.855469 1701187018.4319
MEM 615.855469 1701187018.6018
MEM 615.855469 1701187018.7558
MEM 615.855469 1701187018.9259
MEM 615.855469 1701187019.0838
MEM 615.855469 1701187019.2541
MEM 615.855469 1701187019.4250
MEM 615.855469 1701187019.5959
MEM 615.855469 1701187019.7507
MEM 615.855469 1701187019.9214
MEM 615.855469 1701187020.0922
MEM 615.855469 1701187020.2630
MEM 615.855469 1701187020.4362
MEM 615.855469 1701187020.6076
MEM 615.855469 1701187020.7668
MEM 615.855469 1701187020.9378
MEM 615.855469 1701187021.1093
MEM 615.855469 1701187021.2925
MEM 615.855469 1701187021.4969
MEM 615.855469 1701187021.6973
MEM 615.855469 1701187021.8681
MEM 615.855469 1701187022.0387
MEM 615.855469 1701187022.2099
MEM 615.855469 1701187022.3807
MEM 615.855469 1701187022.5511
MEM 615.855469 1701187022.7179
MEM 615.855469 1701187022.8810
MEM 615.855469 1701187023.0515
MEM 615.855469 1701187023.2225
MEM 615.855469 1701187023.3923
MEM 615.855469 1701187023.5657
MEM 615.855469 1701187023.7375
MEM 615.855469 1701187023.9080
MEM 615.855469 1701187024.0741
MEM 615.855469 1701187024.2331
MEM 615.855469 1701187024.4037
MEM 615.855469 1701187024.5745
MEM 615.855469 1701187024.7372
MEM 615.855469 1701187024.9081
MEM 615.855469 1701187025.0752
MEM 615.855469 1701187025.2426
MEM 615.855469 1701187025.4139
MEM 615.855469 1701187025.5854
MEM 615.855469 1701187025.7567
MEM 615.855469 1701187025.9282
MEM 615.855469 1701187026.0832
MEM 615.855469 1701187026.2547
MEM 615.855469 1701187026.4254
MEM 615.855469 1701187026.5841
MEM 615.855469 1701187026.7516
MEM 615.855469 1701187026.9228
MEM 615.855469 1701187027.0937
MEM 615.855469 1701187027.2651
MEM 615.855469 1701187027.4319
MEM 615.855469 1701187027.5869
MEM 615.855469 1701187027.7457
MEM 615.855469 1701187027.9174
MEM 615.855469 1701187028.0889
MEM 615.855469 1701187028.2608
MEM 615.855469 1701187028.4316
MEM 615.855469 1701187028.6031
MEM 615.855469 1701187028.7659
MEM 615.855469 1701187028.9370
MEM 615.855469 1701187029.1082
MEM 615.855469 1701187029.2793
MEM 615.855469 1701187029.4507
MEM 615.855469 1701187029.6217
MEM 615.855469 1701187029.7851
MEM 615.855469 1701187029.9568
MEM 615.855469 1701187030.1285
MEM 615.855469 1701187030.3001
MEM 615.855469 1701187030.4722
MEM 615.855469 1701187030.6442
MEM 615.855469 1701187030.8157
MEM 615.855469 1701187030.9795
MEM 615.855469 1701187031.1509
MEM 615.855469 1701187031.3219
MEM 615.855469 1701187031.4936
MEM 615.855469 1701187031.6644
MEM 615.855469 1701187031.8356
MEM 615.855469 1701187032.0075
MEM 615.855469 1701187032.1788
MEM 615.855469 1701187032.3496
MEM 615.855469 1701187032.5206
MEM 615.855469 1701187032.6915
MEM 615.855469 1701187032.8624
MEM 615.855469 1701187033.0346
MEM 615.855469 1701187033.2062
MEM 615.855469 1701187033.3774
MEM 615.855469 1701187033.5486
MEM 615.855469 1701187033.7196
MEM 615.855469 1701187033.8909
MEM 615.855469 1701187034.0619
MEM 615.855469 1701187034.2297
MEM 615.855469 1701187034.3968
MEM 615.855469 1701187034.5704
MEM 615.855469 1701187034.7252
MEM 615.855469 1701187034.8964
MEM 615.855469 1701187035.0680
MEM 615.855469 1701187035.2391
MEM 615.855469 1701187035.4103
MEM 615.855469 1701187035.5812
MEM 615.855469 1701187035.7442
MEM 615.855469 1701187035.9149
MEM 615.855469 1701187036.0854
MEM 615.855469 1701187036.2398
MEM 615.855469 1701187036.4023
MEM 615.855469 1701187036.5694
MEM 615.855469 1701187036.7363
MEM 615.855469 1701187036.9029
MEM 615.855469 1701187037.0730
MEM 615.855469 1701187037.2439
MEM 615.855469 1701187037.4151
MEM 615.855469 1701187037.5865
MEM 615.855469 1701187037.7584
MEM 615.855469 1701187037.9298
MEM 615.855469 1701187038.0855
MEM 615.855469 1701187038.2571
MEM 615.855469 1701187038.4286
MEM 615.855469 1701187038.5992
MEM 615.855469 1701187038.7533
MEM 615.855469 1701187038.9240
MEM 615.855469 1701187039.0950
MEM 615.855469 1701187039.2633
MEM 615.855469 1701187039.4348
MEM 615.855469 1701187039.6060
MEM 615.855469 1701187039.7777
MEM 615.855469 1701187039.9490
MEM 615.855469 1701187040.1202
MEM 615.855469 1701187040.2912
MEM 615.855469 1701187040.4623
MEM 615.855469 1701187040.6333
MEM 615.855469 1701187040.8040
MEM 615.855469 1701187040.9743
MEM 615.855469 1701187041.1342
MEM 615.855469 1701187041.3061
MEM 615.855469 1701187041.4605
MEM 615.855469 1701187041.6316
MEM 615.855469 1701187041.8026
MEM 615.855469 1701187041.9738
MEM 615.855469 1701187042.1448
MEM 615.855469 1701187042.3163
MEM 615.855469 1701187042.4880
MEM 615.855469 1701187042.6594
MEM 615.855469 1701187042.8302
MEM 615.855469 1701187043.0009
MEM 615.855469 1701187043.1726
MEM 615.855469 1701187043.3438
MEM 615.855469 1701187043.5140
MEM 615.855469 1701187043.6847
MEM 615.855469 1701187043.8558
MEM 615.855469 1701187044.0289
MEM 615.855469 1701187044.1923
MEM 615.855469 1701187044.3636
MEM 615.855469 1701187044.5350
MEM 615.855469 1701187044.7067
MEM 615.855469 1701187044.8780
MEM 615.855469 1701187045.0451
MEM 615.855469 1701187045.2162
MEM 615.855469 1701187045.3872
MEM 615.855469 1701187045.5578
MEM 615.855469 1701187045.7357
MEM 615.855469 1701187045.9058
MEM 615.855469 1701187046.0764
MEM 615.855469 1701187046.2475
MEM 615.855469 1701187046.4183
MEM 615.855469 1701187046.5893
MEM 615.855469 1701187046.7518
MEM 615.855469 1701187046.9224
MEM 615.855469 1701187047.0859
MEM 615.855469 1701187047.2569
MEM 615.855469 1701187047.4285
MEM 615.855469 1701187047.5991
MEM 615.855469 1701187047.7704
MEM 615.855469 1701187047.9410
MEM 615.855469 1701187048.1118
MEM 615.855469 1701187048.2826
MEM 615.855469 1701187048.4428
MEM 615.855469 1701187048.6141
MEM 615.855469 1701187048.7859
MEM 615.855469 1701187048.9523
MEM 615.855469 1701187049.1232
MEM 615.855469 1701187049.2946
MEM 615.855469 1701187049.4656
MEM 615.855469 1701187049.6365
MEM 615.855469 1701187049.8075
MEM 615.855469 1701187049.9789
MEM 615.855469 1701187050.1422
MEM 615.855469 1701187050.3162
MEM 615.855469 1701187050.4873
MEM 615.855469 1701187050.6428
MEM 615.855469 1701187050.8056
MEM 615.855469 1701187050.9735
MEM 615.855469 1701187051.1450
MEM 615.855469 1701187051.3003
MEM 615.855469 1701187051.4716
MEM 615.855469 1701187051.6430
MEM 615.855469 1701187051.8066
MEM 615.855469 1701187051.9779
MEM 615.855469 1701187052.1486
MEM 615.855469 1701187052.3203
MEM 615.855469 1701187052.4887
MEM 615.855469 1701187052.6597
MEM 615.855469 1701187052.8311
MEM 615.855469 1701187052.9894
MEM 615.855469 1701187053.1597
MEM 615.855469 1701187053.3310
MEM 615.855469 1701187053.5028
MEM 615.855469 1701187053.6703
MEM 615.855469 1701187053.8418
MEM 615.855469 1701187054.0137
MEM 615.855469 1701187054.1853
MEM 615.855469 1701187054.3407
MEM 615.855469 1701187054.5120
MEM 615.855469 1701187054.6834
MEM 615.855469 1701187054.8544
MEM 615.855469 1701187055.0286
MEM 615.855469 1701187055.1958
MEM 615.855469 1701187055.3629
MEM 615.855469 1701187055.5299
MEM 615.855469 1701187055.7010
MEM 615.855469 1701187055.8719
MEM 615.855469 1701187056.0431
MEM 615.855469 1701187056.2141
MEM 615.855469 1701187056.3690
MEM 615.855469 1701187056.5321
MEM 615.855469 1701187056.7032
MEM 615.855469 1701187056.8753
MEM 615.855469 1701187057.0429
MEM 615.855469 1701187057.2142
MEM 615.855469 1701187057.3855
MEM 615.855469 1701187057.5568
MEM 615.855469 1701187057.7235
MEM 615.855469 1701187057.8943
MEM 615.855469 1701187058.0643
MEM 615.855469 1701187058.2353
MEM 615.855469 1701187058.4067
MEM 615.855469 1701187058.5780
MEM 615.855469 1701187058.7531
MEM 615.855469 1701187058.9081
MEM 615.855469 1701187059.0792
MEM 615.855469 1701187059.2498
MEM 615.855469 1701187059.4207
MEM 615.855469 1701187059.5915
