CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 592.632812 1701174988.8250
MEM 592.632812 1701174988.9559
MEM 592.632812 1701174989.0906
MEM 592.632812 1701174989.2243
MEM 592.632812 1701174989.3568
MEM 592.632812 1701174989.4897
MEM 592.632812 1701174989.6229
MEM 592.632812 1701174989.7559
MEM 592.632812 1701174989.8888
MEM 592.781250 1701174990.0219
MEM 592.781250 1701174990.1551
MEM 592.781250 1701174990.2884
MEM 592.781250 1701174990.4216
MEM 592.781250 1701174990.5554
MEM 592.781250 1701174990.6906
MEM 592.781250 1701174990.8240
MEM 592.781250 1701174990.9570
MEM 592.781250 1701174991.0903
MEM 592.781250 1701174991.2236
MEM 592.781250 1701174991.3577
MEM 592.781250 1701174991.4906
MEM 592.781250 1701174991.6239
MEM 592.781250 1701174991.7565
MEM 592.781250 1701174991.8893
MEM 592.781250 1701174992.0223
MEM 592.781250 1701174992.1570
MEM 592.828125 1701174992.2906
MEM 592.828125 1701174992.4239
MEM 592.828125 1701174992.5571
MEM 592.828125 1701174992.6907
MEM 592.828125 1701174992.8233
MEM 592.828125 1701174992.9565
MEM 592.828125 1701174993.0896
MEM 592.828125 1701174993.2226
MEM 592.828125 1701174993.3553
MEM 592.828125 1701174993.4887
MEM 592.828125 1701174993.6212
MEM 592.828125 1701174993.7569
MEM 592.828125 1701174993.8899
MEM 592.828125 1701174994.0226
MEM 593.039062 1701174994.1555
MEM 593.039062 1701174994.2882
MEM 593.039062 1701174994.4213
MEM 593.039062 1701174994.5545
MEM 593.039062 1701174994.6875
MEM 593.039062 1701174994.8206
MEM 593.039062 1701174994.9538
MEM 593.039062 1701174995.0879
MEM 593.039062 1701174995.2209
MEM 593.039062 1701174995.3564
MEM 593.144531 1701174995.4899
MEM 593.144531 1701174995.6235
MEM 593.144531 1701174995.7568
MEM 593.144531 1701174995.8903
MEM 593.144531 1701174996.0244
MEM 593.144531 1701174996.1587
MEM 593.144531 1701174996.2922
MEM 593.144531 1701174996.4255
MEM 593.144531 1701174996.5588
MEM 593.144531 1701174996.6917
MEM 593.144531 1701174996.8248
MEM 593.144531 1701174996.9597
MEM 593.144531 1701174997.0930
MEM 593.144531 1701174997.2264
MEM 593.144531 1701174997.3600
MEM 593.144531 1701174997.4939
MEM 593.144531 1701174997.6278
MEM 593.144531 1701174997.7613
MEM 593.144531 1701174997.8944
MEM 593.144531 1701174998.0276
MEM 593.144531 1701174998.1610
MEM 593.144531 1701174998.2942
MEM 593.144531 1701174998.4296
MEM 593.144531 1701174998.5634
MEM 593.144531 1701174998.6977
MEM 593.144531 1701174998.8319
MEM 593.144531 1701174998.9655
MEM 593.144531 1701174999.0995
MEM 593.144531 1701174999.2326
MEM 593.144531 1701174999.3658
MEM 593.144531 1701174999.4988
MEM 593.144531 1701174999.6321
MEM 593.144531 1701174999.7652
MEM 593.144531 1701174999.8984
MEM 593.144531 1701175000.0337
MEM 593.144531 1701175000.1673
MEM 593.144531 1701175000.3005
MEM 593.144531 1701175000.4335
MEM 593.144531 1701175000.5670
MEM 593.144531 1701175000.7004
MEM 593.144531 1701175000.8340
MEM 593.144531 1701175000.9671
MEM 593.144531 1701175001.1010
MEM 593.144531 1701175001.2347
MEM 593.144531 1701175001.3680
MEM 593.144531 1701175001.5005
MEM 593.144531 1701175001.6354
MEM 593.144531 1701175001.7690
MEM 593.148438 1701175001.9021
MEM 593.156250 1701175002.0352
MEM 593.156250 1701175002.1682
MEM 593.156250 1701175002.3014
MEM 593.156250 1701175002.4354
MEM 593.156250 1701175002.5689
MEM 593.156250 1701175002.7022
MEM 593.156250 1701175002.8356
MEM 593.156250 1701175002.9690
MEM 593.156250 1701175003.1023
MEM 593.156250 1701175003.2380
MEM 593.156250 1701175003.3719
MEM 593.156250 1701175003.5058
MEM 593.156250 1701175003.6404
MEM 593.156250 1701175003.7769
MEM 593.156250 1701175003.9129
MEM 593.156250 1701175004.0484
MEM 593.156250 1701175004.1832
MEM 593.156250 1701175004.3175
MEM 593.156250 1701175004.4518
MEM 593.156250 1701175004.5865
MEM 593.156250 1701175004.7247
MEM 593.156250 1701175004.8606
MEM 593.156250 1701175004.9958
MEM 593.156250 1701175005.1312
MEM 593.156250 1701175005.2663
MEM 593.156250 1701175005.4015
MEM 593.156250 1701175005.5366
MEM 593.156250 1701175005.6717
MEM 593.156250 1701175005.8065
MEM 593.156250 1701175005.9423
MEM 593.156250 1701175006.0784
MEM 593.156250 1701175006.2132
MEM 593.156250 1701175006.3517
MEM 593.156250 1701175006.4870
MEM 593.156250 1701175006.6210
MEM 593.156250 1701175006.7552
MEM 593.156250 1701175006.8894
MEM 593.156250 1701175007.0238
MEM 593.156250 1701175007.1597
MEM 593.156250 1701175007.2941
MEM 593.156250 1701175007.4288
MEM 593.156250 1701175007.5632
MEM 593.156250 1701175007.6965
MEM 593.156250 1701175007.8329
MEM 593.156250 1701175007.9692
MEM 593.156250 1701175008.1036
MEM 593.156250 1701175008.2379
MEM 593.156250 1701175008.3737
MEM 593.156250 1701175008.5079
MEM 593.156250 1701175008.6418
MEM 593.156250 1701175008.7753
MEM 593.191406 1701175008.9089
MEM 593.191406 1701175009.0421
MEM 593.195312 1701175009.1759
MEM 593.195312 1701175009.3095
MEM 593.195312 1701175009.4462
MEM 593.195312 1701175009.5809
MEM 593.195312 1701175009.7151
MEM 593.195312 1701175009.8481
MEM 593.195312 1701175009.9833
MEM 593.195312 1701175010.1170
MEM 593.195312 1701175010.2508
MEM 593.195312 1701175010.3841
MEM 593.195312 1701175010.5182
MEM 593.195312 1701175010.6517
MEM 593.195312 1701175010.7857
MEM 593.195312 1701175010.9205
MEM 593.195312 1701175011.0573
MEM 596.812500 1701175011.1912
MEM 602.226562 1701175011.3245
MEM 607.898438 1701175011.4581
MEM 611.976562 1701175011.5918
MEM 611.976562 1701175011.7254
MEM 611.976562 1701175011.8585
MEM 611.976562 1701175011.9923
MEM 611.976562 1701175012.1262
MEM 611.976562 1701175012.2600
MEM 611.976562 1701175012.3944
MEM 611.976562 1701175012.5278
MEM 613.246094 1701175012.6642
MEM 613.246094 1701175012.7985
MEM 613.246094 1701175012.9327
MEM 613.246094 1701175013.0679
MEM 613.246094 1701175013.2030
MEM 613.246094 1701175013.3368
MEM 613.246094 1701175013.4702
MEM 613.503906 1701175013.6035
MEM 613.503906 1701175013.7366
