CMDLINE /Users/Q642074/miniconda3/envs/qiro/bin/python time_test_run.py
MEM 471.781250 1701179015.3199
MEM 471.781250 1701179015.4278
MEM 471.781250 1701179015.5359
MEM 475.218750 1701179015.6438
MEM 485.671875 1701179015.7517
MEM 494.828125 1701179015.8596
MEM 494.828125 1701179015.9675
MEM 475.843750 1701179016.0754
MEM 475.843750 1701179016.1791
MEM 475.843750 1701179016.2871
MEM 475.859375 1701179016.3952
MEM 474.859375 1701179016.5031
MEM 474.859375 1701179016.6110
MEM 478.031250 1701179016.7188
MEM 483.890625 1701179016.8260
MEM 476.906250 1701179016.9340
MEM 476.906250 1701179017.0422
MEM 476.906250 1701179017.1501
MEM 476.906250 1701179017.2580
MEM 476.906250 1701179017.3660
MEM 474.906250 1701179017.4739
MEM 474.906250 1701179017.5818
MEM 474.906250 1701179017.6899
MEM 474.906250 1701179017.7979
MEM 474.906250 1701179017.9058
MEM 474.906250 1701179018.0137
MEM 474.906250 1701179018.1216
MEM 474.906250 1701179018.2296
MEM 474.906250 1701179018.3375
MEM 474.906250 1701179018.4453
MEM 477.984375 1701179018.5531
MEM 483.765625 1701179018.6610
MEM 479.781250 1701179018.7659
MEM 479.781250 1701179018.8699
MEM 479.781250 1701179018.9738
MEM 479.781250 1701179019.0780
MEM 479.781250 1701179019.1859
MEM 479.781250 1701179019.2939
MEM 476.781250 1701179019.4018
MEM 476.781250 1701179019.5096
MEM 483.765625 1701179019.6175
MEM 483.765625 1701179019.7254
MEM 480.781250 1701179019.8334
MEM 480.781250 1701179019.9413
MEM 480.781250 1701179020.0492
MEM 479.781250 1701179020.1572
MEM 477.781250 1701179020.2652
MEM 477.781250 1701179020.3732
MEM 477.781250 1701179020.4810
MEM 477.781250 1701179020.5889
MEM 477.781250 1701179020.6927
MEM 477.781250 1701179020.8006
MEM 477.781250 1701179020.9086
MEM 477.781250 1701179021.0166
MEM 477.781250 1701179021.1245
MEM 477.781250 1701179021.2323
MEM 477.781250 1701179021.3402
MEM 477.781250 1701179021.4481
MEM 480.015625 1701179021.5562
MEM 479.031250 1701179021.6641
MEM 479.031250 1701179021.7719
MEM 479.031250 1701179021.8798
MEM 481.703125 1701179021.9877
MEM 480.484375 1701179022.0957
MEM 480.484375 1701179022.2035
MEM 480.484375 1701179022.3115
MEM 480.953125 1701179022.4195
MEM 480.953125 1701179022.5255
MEM 478.953125 1701179022.6336
MEM 478.953125 1701179022.7415
MEM 478.953125 1701179022.8497
MEM 478.953125 1701179022.9575
MEM 478.953125 1701179023.0656
MEM 478.953125 1701179023.1735
MEM 478.953125 1701179023.2814
MEM 478.953125 1701179023.3894
MEM 478.953125 1701179023.4973
MEM 478.953125 1701179023.6052
MEM 478.953125 1701179023.7131
MEM 478.953125 1701179023.8211
MEM 478.953125 1701179023.9292
MEM 474.953125 1701179024.0343
MEM 474.953125 1701179024.1423
MEM 474.953125 1701179024.2502
MEM 473.953125 1701179024.3552
MEM 472.953125 1701179024.4632
MEM 472.953125 1701179024.5710
MEM 471.953125 1701179024.6751
MEM 471.953125 1701179024.7831
MEM 471.953125 1701179024.8884
MEM 471.953125 1701179024.9964
MEM 471.953125 1701179025.1043
MEM 471.953125 1701179025.2084
MEM 471.953125 1701179025.3163
MEM 471.953125 1701179025.4243
MEM 471.953125 1701179025.5323
MEM 471.953125 1701179025.6401
MEM 471.953125 1701179025.7481
MEM 471.953125 1701179025.8561
MEM 471.953125 1701179025.9641
MEM 471.953125 1701179026.0720
MEM 471.953125 1701179026.1799
MEM 471.953125 1701179026.2878
MEM 471.953125 1701179026.3960
MEM 471.953125 1701179026.5041
MEM 471.953125 1701179026.6122
MEM 460.531250 1701179026.7204
MEM 461.328125 1701179026.8288
MEM 459.328125 1701179026.9339
MEM 459.328125 1701179027.0446
MEM 459.453125 1701179027.1526
MEM 459.562500 1701179027.2566
MEM 459.578125 1701179027.3647
MEM 459.578125 1701179027.4732
MEM 459.578125 1701179027.5799
MEM 459.578125 1701179027.6879
MEM 459.578125 1701179027.7957
MEM 459.593750 1701179027.9037
MEM 459.593750 1701179028.0085
MEM 459.609375 1701179028.1133
MEM 459.609375 1701179028.2211
