CMDLINE python RQAOA_run_recalculations_v2.py
MEM 2338.523438 1706516134.7481
MEM 2338.660156 1706516134.8865
MEM 2338.976562 1706516135.0246
MEM 2339.035156 1706516135.1617
MEM 2339.347656 1706516135.3002
MEM 2339.496094 1706516135.4386
MEM 2339.613281 1706516135.5774
MEM 2339.746094 1706516135.7198
MEM 2339.746094 1706516135.8578
MEM 2339.992188 1706516135.9951
MEM 2340.156250 1706516136.1330
MEM 2340.500000 1706516136.2721
MEM 2340.718750 1706516136.4113
MEM 2341.519531 1706516136.5511
MEM 2342.285156 1706516136.6886
MEM 2342.593750 1706516136.8242
MEM 2342.796875 1706516136.9602
MEM 2343.382812 1706516137.0961
MEM 2343.496094 1706516137.2342
MEM 2343.558594 1706516137.3745
MEM 2343.753906 1706516137.5212
MEM 2343.796875 1706516137.6617
MEM 2343.964844 1706516137.8014
MEM 2344.187500 1706516137.9422
MEM 2344.468750 1706516138.0829
MEM 2344.554688 1706516138.2229
MEM 2344.832031 1706516138.3627
MEM 2344.902344 1706516138.5026
MEM 2345.031250 1706516138.6432
MEM 2345.128906 1706516138.7838
MEM 2345.339844 1706516138.9246
MEM 2345.417969 1706516139.0646
MEM 2345.453125 1706516139.2051
MEM 2345.933594 1706516139.3455
MEM 2346.296875 1706516139.4862
MEM 2346.324219 1706516139.6267
MEM 2346.753906 1706516139.7670
MEM 2347.000000 1706516139.9074
MEM 2347.000000 1706516140.0491
MEM 2347.000000 1706516140.1903
MEM 2347.238281 1706516140.3305
MEM 2347.496094 1706516140.4715
MEM 2347.496094 1706516140.6119
MEM 2347.691406 1706516140.7529
MEM 2347.777344 1706516140.8935
MEM 2348.078125 1706516141.0340
MEM 2348.175781 1706516141.1746
MEM 2348.492188 1706516141.3151
MEM 2348.640625 1706516141.4550
MEM 2348.789062 1706516141.5961
MEM 2349.062500 1706516141.7374
MEM 2349.222656 1706516141.8790
MEM 2349.296875 1706516142.0194
MEM 2349.777344 1706516142.1607
MEM 2349.871094 1706516142.3009
MEM 2349.871094 1706516142.4409
MEM 2350.113281 1706516142.5811
MEM 2350.269531 1706516142.7206
MEM 2350.347656 1706516142.8606
MEM 2350.621094 1706516143.0006
MEM 2350.847656 1706516143.1409
MEM 2351.257812 1706516143.2806
MEM 2351.371094 1706516143.4203
MEM 2351.476562 1706516143.5615
MEM 2351.816406 1706516143.7022
MEM 2351.847656 1706516143.8431
MEM 2352.253906 1706516143.9835
MEM 2352.511719 1706516144.1233
MEM 2352.753906 1706516144.2630
MEM 2353.011719 1706516144.4036
MEM 2353.011719 1706516144.5436
MEM 2353.011719 1706516144.6838
MEM 2353.269531 1706516144.8244
MEM 2353.378906 1706516144.9639
MEM 2353.753906 1706516145.1038
MEM 2353.781250 1706516145.2438
MEM 2354.156250 1706516145.3842
MEM 2354.500000 1706516145.5255
MEM 2354.511719 1706516145.6661
MEM 2354.777344 1706516145.8069
MEM 2355.007812 1706516145.9473
MEM 2355.007812 1706516146.0870
MEM 2355.007812 1706516146.2270
MEM 2355.464844 1706516146.3663
MEM 2355.464844 1706516146.5066
MEM 2355.722656 1706516146.6464
MEM 2355.722656 1706516146.7871
MEM 2355.980469 1706516146.9275
MEM 2356.238281 1706516147.0658
MEM 2356.238281 1706516147.2044
MEM 2356.238281 1706516147.3432
MEM 2356.496094 1706516147.4826
MEM 2356.496094 1706516147.6222
MEM 2356.753906 1706516147.7626
MEM 2357.132812 1706516147.9029
MEM 2357.242188 1706516148.0428
MEM 2357.320312 1706516148.1839
MEM 2357.671875 1706516148.3245
MEM 2357.671875 1706516148.4645
MEM 2357.671875 1706516148.6053
MEM 2357.929688 1706516148.7458
MEM 2357.929688 1706516148.8857
MEM 2357.929688 1706516149.0250
MEM 2358.187500 1706516149.1640
MEM 2358.187500 1706516149.3037
MEM 2358.445312 1706516149.4431
MEM 2358.445312 1706516149.5803
MEM 2358.589844 1706516149.7187
MEM 2358.882812 1706516149.8582
MEM 2359.246094 1706516149.9984
MEM 2359.359375 1706516150.1383
MEM 2359.632812 1706516150.2783
MEM 2359.812500 1706516150.4178
MEM 2360.070312 1706516150.5574
MEM 2360.125000 1706516150.6983
MEM 2360.125000 1706516150.8392
MEM 2360.363281 1706516150.9798
MEM 2360.421875 1706516151.1204
